model,accuracy,f1_macro,precision_sell,recall_sell,precision_buy,recall_buy,roc_auc
naive_majority,0.5063457330415755,0.3361417780360256,0.0,0.0,0.5063457330415755,1.0,0.5
naive_random_prior,0.5030634573304158,0.5029629070899289,0.4966651845264562,0.4951241134751773,0.5092632485997415,0.5108038029386344,0.5
naive_momentum_return_4,0.49409190371991246,0.49408948134528463,0.4878472222222222,0.49822695035460995,0.500441306266549,0.49006050129645634,0.4941437258255331
naive_buy_only,0.5063457330415755,0.3361417780360256,0.0,0.0,0.5063457330415755,1.0,0.5
logistic_regression,0.52472647702407,0.5163336857271162,0.51440329218107,0.6648936170212766,0.5429262394195888,0.38807260155574763,0.5321054926227649
svc,0.5008752735229759,0.4992167221991868,0.4951493985254172,0.5656028368794326,0.5082789764174611,0.43777009507346587,0.5019651811054513
lightgbm,0.524945295404814,0.5151673214114418,0.5143435707053662,0.675531914893617,0.5444928438083385,0.378133102852204,0.5316008362603211
hybrid_stacking,0.5172866520787747,0.5172710271638534,0.5106837606837606,0.5296985815602837,0.5242152466367713,0.5051858254105445,0.5163131677669689
