direction,entry_price,exit_price,bars_held,trade_return,trade_pnl_usd,win,entry_time,exit_time
LONG,1820.1750000000002,1829.47,16,0.0049029553434609685,49.029553434609625,True,2022-12-30T06:00:00.000000,2023-01-02T23:00:00.000000
SHORT,1829.47,1859.9965,32,-0.01793950456757476,-180.27461157353355,False,2023-01-02T23:00:00.000000,2023-01-04T08:00:00.000000
LONG,1859.9965,1853.67,4,-0.0037484385059912695,-36.99242103026336,False,2023-01-04T08:00:00.000000,2023-01-04T12:00:00.000000
SHORT,1853.67,1852.645,16,0.00014607946464417765,1.436218605551403,True,2023-01-04T12:00:00.000000,2023-01-05T05:00:00.000000
LONG,1852.645,1838.2849999999999,20,-0.008115076917707409,-79.79716411763002,False,2023-01-05T05:00:00.000000,2023-01-06T02:00:00.000000
SHORT,1838.2849999999999,1838.8415,4,-0.0006712574935666682,-6.54704389519793,False,2023-01-06T02:00:00.000000,2023-01-06T06:00:00.000000
LONG,1838.8415,1843.7215,8,0.0022730395635663925,22.1549859702518,True,2023-01-06T06:00:00.000000,2023-01-06T14:00:00.000000
SHORT,1843.7215,1875.105,16,-0.01723059914765923,-168.32588706388015,False,2023-01-06T14:00:00.000000,2023-01-09T07:00:00.000000
LONG,1875.105,1873.194,4,-0.0013693433533503718,-13.14663231681152,False,2023-01-09T07:00:00.000000,2023-01-09T11:00:00.000000
SHORT,1873.194,1871.4185,16,0.000568845550318553,5.453827759834894,True,2023-01-09T11:00:00.000000,2023-01-10T04:00:00.000000
LONG,1871.4185,1871.655,12,-0.00024329900582209518,-2.3339651307705935,False,2023-01-10T04:00:00.000000,2023-01-10T16:00:00.000000
SHORT,1871.655,1873.8565,24,-0.0015752421397847716,-15.107606835099432,False,2023-01-10T16:00:00.000000,2023-01-11T17:00:00.000000
LONG,1873.8565,1883.7350000000001,8,0.004892518434291837,46.84855124271962,True,2023-01-11T17:00:00.000000,2023-01-12T02:00:00.000000
SHORT,1883.7350000000001,1883.211,4,-8.768000881187454e-05,-0.8436919243376906,False,2023-01-12T02:00:00.000000,2023-01-12T06:00:00.000000
LONG,1883.211,1884.38,4,0.00023981962507302335,2.3074375000305736,True,2023-01-12T06:00:00.000000,2023-01-12T10:00:00.000000
SHORT,1884.38,1899.795,24,-0.008645046489065167,-83.19873050948445,False,2023-01-12T10:00:00.000000,2023-01-13T11:00:00.000000
LONG,1899.795,1913.7514999999999,4,0.006988690622238503,66.67674078088385,True,2023-01-13T11:00:00.000000,2023-01-13T15:00:00.000000
SHORT,1913.7514999999999,1911.7984999999999,16,0.0006237380987743624,5.9924637119929685,True,2023-01-13T15:00:00.000000,2023-01-16T08:00:00.000000
LONG,1911.7984999999999,1914.95,4,0.0013104620622983454,12.597906910526945,True,2023-01-16T08:00:00.000000,2023-01-16T12:00:00.000000
SHORT,1914.95,1913.6685,4,0.0002913145319010102,2.804173272112166,True,2023-01-16T12:00:00.000000,2023-01-16T16:00:00.000000
LONG,1913.6685,1913.0115,16,-0.0006841141357981639,-6.587153110929648,False,2023-01-16T16:00:00.000000,2023-01-17T13:00:00.000000
SHORT,1913.0115,1907.23,4,0.0026721179574937803,25.711511659230382,True,2023-01-17T13:00:00.000000,2023-01-17T17:00:00.000000
LONG,1907.23,1908.8485,4,0.0005112947827572434,4.932899697085304,True,2023-01-17T17:00:00.000000,2023-01-17T21:00:00.000000
